domain,icao_hex,registration,group,type,comments
EMS,c8277f,ZK-HQO,EMS_ROTOR_RESCUE,a-f-A-C-H,Northland Emergency Services - Helimed 5 #SAR
EMS,c82216,ZK-HTQ,EMS_ROTOR_RESCUE,a-f-A-C-H,Northern Rescue Helicopter #SAR
EMS,c813b6,ZK-HUP,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 1 Queenstown #SAR
EMS,c80f67,ZK-IBK,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 1 Te Anau #SAR
EMS,c80010,ZK-ICU,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 8 Dunedin #SAR
EMS,c82af1,ZK-IDH,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 2 Dunedin #SAR
EMS,c82b43,ZK-IDU,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 1 Dunedin #SAR
EMS,c82ace,ZK-IGG,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 4 Dunedin #SAR
EMS,c82846,ZK-IGI,EMS_ROTOR_RESCUE,a-f-A-C-H,Canterbury West Coast Air Rescue - Air 1 Christchurch #SAR
EMS,c827c0,ZK-IGS,EMS_ROTOR_RESCUE,a-f-A-C-H,Canterbury West Coast Air Rescue - Air 2 Christchurch #SAR
EMS,c8236d,ZK-IIX,EMS_ROTOR_RESCUE,a-f-A-C-H,Gisborne - Air 1 Tairawhiti #SAR
EMS,c81c60,ZK-IME,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 6 Dunedin #SAR
EMS,c812df,ZK-IMN,EMS_ROTOR_RESCUE,a-f-A-C-H,Marlborough Rescue Helicopter #SAR
LAW,c8281b,ZK-IPB,LE_ROTOR,a-f-A-C-H,New Zealand Police #NZ-Police
LAW,c8280d,ZK-IPC,LE_ROTOR,a-f-A-C-H,New Zealand Police #NZ-Police
LAW,c82827,ZK-IPJ,LE_ROTOR,a-f-A-C-H,New Zealand Police #NZ-Police
EMS,c81e04,ZK-IPT,EMS_ROTOR_RESCUE,a-f-A-C-H,Palmerston North - Air 1 Manawatu #SAR
EMS,c83311,ZK-IRB,EMS_ROTOR_RESCUE,a-f-A-C-H,Auckland Rescue Helicopter #SAR
EMS,c819e3,ZK-IRM,EMS_ROTOR_RESCUE,a-f-A-C-H,Southern Lakes Helicopters #SAR
EMS,c82058,ZK-IRU,EMS_ROTOR_RESCUE,a-f-A-C-H,Wellington - Air 1 Te Upoko #SAR
EMS,c82472,ZK-IWD,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 3 Dunedin #SAR
EMS,c822c5,ZK-IWG,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 5 Dunedin #SAR
EMS,c8246f,ZK-IWL,EMS_ROTOR_RESCUE,a-f-A-C-H,Otago Rescue Helicopter - Air 2 Queenstown #SAR
EMS,c82842,ZK-IXD,EMS_ROTOR_RESCUE,a-f-A-C-H,Taupo #SAR
EMS,c83354,ZK-IXN,EMS_ROTOR_RESCUE,a-f-A-C-H,Hamilton - Air 1 Waikato #SAR
EMS,c829bc,ZK-IXO,EMS_ROTOR_RESCUE,a-f-A-C-H,Tauranga #SAR
